RefId,IsBadBuy,VehicleAge,Transmission,WheelTypeID,VehOdo,TopThreeAmericanName,MMRAcquisitionAuctionAveragePrice,MMRAcquisitionAuctionCleanPrice,MMRAcquisitionRetailAveragePrice,MMRAcquisitonRetailCleanPrice,MMRCurrentAuctionAveragePrice,MMRCurrentAuctionCleanPrice,MMRCurrentRetailAveragePrice,MMRCurrentRetailCleanPrice,IsOnlineSale,WarrantyCost
98,1,8,AUTO,1,64822,FORD,3442,4419,6382,7874,4347,5324,7185,8419,0,1028
102,0,5,AUTO,1,56064,CHRYSLER,9202,11302,13865,15718,9922,12211,14344,16829,0,754
103,0,4,AUTO,2,62230,CHRYSLER,9090,10656,13016,14681,10119,11611,14134,15616,0,1215
108,0,3,AUTO,1,89849,CHRYSLER,12075,14451,16932,18439,15107,17357,19483,21861,0,983
109,0,4,AUTO,1,81338,GM,8890,10815,13062,14346,9240,11797,13807,16073,0,1243
114,0,3,AUTO,2,81930,OTHER,10573,12032,16795,17453,10472,11521,15961,16874,0,594
115,0,4,AUTO,1,74131,CHRYSLER,10883,12166,15402,16556,9100,11639,13748,15980,0,1389
117,0,3,AUTO,2,64118,CHRYSLER,8549,9808,12845,14134,8794,9910,12990,14001,0,1215
127,0,3,AUTO,1,66545,CHRYSLER,9693,12057,13671,15991,11871,14671,15959,18815,0,1411
129,0,3,AUTO,1,71952,OTHER,9653,10778,13469,14600,9983,11249,13424,14541,0,1272
134,1,7,AUTO,0,59072,GM,3458,4653,6222,7512,3458,4653,6222,7512,0,1469
138,1,7,AUTO,1,64554,FORD,3129,4254,5786,6924,2902,3721,5946,6848,0,1320
142,1,5,AUTO,2,60554,GM,4690,5796,7488,9182,4340,5590,7370,9073,0,1703
144,1,9,AUTO,1,63377,FORD,4769,6001,8035,9312,5199,6557,8239,9329,0,1223
156,1,3,AUTO,2,73963,CHRYSLER,6261,7204,9489,10598,6057,7034,9404,10479,0,1389
162,0,5,AUTO,1,46695,CHRYSLER,8578,10148,12893,14347,9020,11168,13252,15018,0,693
181,1,6,AUTO,2,62990,GM,6217,7767,10090,11805,5309,6694,8983,11326,0,1020
182,1,6,AUTO,1,78992,FORD,6702,7909,9788,11066,6659,7961,10137,11356,0,1155
184,1,6,AUTO,2,60522,CHRYSLER,4196,5053,7137,8089,3534,4563,6998,9035,0,1215
185,1,8,AUTO,1,73725,GM,4862,6216,8540,10127,5500,7139,8546,9974,0,2274
193,0,4,AUTO,1,79015,CHRYSLER,11290,13198,14310,16387,10137,12403,13394,15388,0,1389
220,1,5,AUTO,0,69430,GM,4481,5568,7335,8281,4009,5044,6971,8771,0,728
231,1,4,AUTO,1,61315,OTHER,6860,8045,10461,11384,6554,7937,9788,11295,0,728
234,0,2,AUTO,1,72993,GM,9034,10418,13140,14306,8780,10283,12594,14324,0,1974
237,0,4,AUTO,2,62955,CHRYSLER,9620,11498,13747,15428,9207,10649,12236,13920,0,1215
246,0,4,AUTO,2,84388,OTHER,9079,10482,12702,14481,8840,10100,12757,14447,0,594
250,1,9,AUTO,0,78593,FORD,3242,4029,6037,7147,3242,4029,6037,7147,0,1103
268,1,4,AUTO,2,66568,CHRYSLER,5108,6069,8483,9557,4775,5796,8667,9390,0,1215
269,1,3,AUTO,2,63079,GM,6340,7574,9909,11051,6025,7220,9792,10587,0,728
274,0,3,AUTO,1,62233,CHRYSLER,12693,14504,16545,18175,12290,14323,16028,17973,0,1508
275,1,6,AUTO,1,79081,FORD,4017,5555,7330,9314,4017,5555,7301,9129,0,920
282,1,3,AUTO,2,89443,GM,6976,8174,10513,11445,6491,7771,9545,10739,0,1113
292,0,2,AUTO,2,79986,CHRYSLER,9910,11097,12786,14477,10117,11192,13259,14350,0,1389
300,1,2,AUTO,0,51288,CHRYSLER,8993,10322,12758,13988,9047,10345,13148,14575,0,920
307,0,3,AUTO,2,64223,OTHER,10213,11555,14505,15818,10322,12147,13974,16949,0,630
312,0,2,AUTO,1,71757,CHRYSLER,10404,12297,14577,16119,11099,13119,15101,16552,0,1506
317,1,7,AUTO,1,74273,OTHER,5336,6663,8435,9596,4231,5156,7610,8321,0,2157
318,0,1,AUTO,1,79732,CHRYSLER,9632,10510,13362,14619,9838,10725,13382,14392,0,1155
319,1,3,AUTO,1,47555,GM,8875,10274,12354,13695,8379,9784,12372,13654,0,905
326,1,2,AUTO,2,61184,OTHER,6796,7555,10140,10805,6628,7535,9605,10650,0,533
328,0,1,AUTO,2,80120,GM,9900,10858,13687,14727,11386,12751,14524,16018,0,1113
334,0,1,AUTO,1,60559,GM,9944,10977,14036,15253,10981,12184,14779,16077,0,1703
339,0,4,AUTO,1,91071,FORD,12388,14924,17833,20207,12360,15378,17496,20147,0,1774
341,1,1,AUTO,1,62846,FORD,11510,12950,16310,17717,12008,13466,16020,17274,0,1118
342,0,2,AUTO,2,44281,GM,8169,9168,11932,12902,8777,10108,12054,13065,0,764
358,1,7,AUTO,3,76650,CHRYSLER,3258,4022,6510,7392,3718,4482,6602,7447,0,1923
363,0,2,AUTO,2,51127,CHRYSLER,8662,10020,12371,14000,10100,11432,13634,14884,0,920
366,1,7,AUTO,1,86003,FORD,2747,3929,5626,7013,2960,4204,6089,7252,0,2322
368,0,3,AUTO,2,66750,CHRYSLER,9899,11476,14193,15739,10244,11923,14403,15902,0,1215
374,0,2,AUTO,2,73402,CHRYSLER,10782,12010,14421,15733,10355,11937,14059,15631,0,1389
378,0,2,AUTO,2,35655,OTHER,7242,8471,10314,12065,9427,10390,12441,13242,0,582
379,0,3,AUTO,2,40909,CHRYSLER,9899,11476,14193,15739,10095,11870,13813,15736,0,975
390,0,1,AUTO,1,56849,GM,10045,11240,14118,15297,9774,11439,13314,15279,0,1003
392,0,2,AUTO,1,72090,FORD,12166,13895,15827,17468,13609,15435,16500,17782,0,1272
393,0,2,AUTO,1,82820,CHRYSLER,9150,10342,13503,14548,9046,11054,13135,14738,0,1373
402,0,3,AUTO,1,75031,FORD,15245,17466,19061,20539,13962,17134,15911,19525,0,803
412,1,2,AUTO,0,79092,OTHER,9954,11579,13473,14781,10563,12549,14209,15895,0,1038
415,1,7,AUTO,2,64139,GM,3680,4673,6864,8224,3546,4644,6706,7941,0,833
416,1,4,AUTO,0,64407,GM,7533,8655,11299,12611,7105,9151,11066,13318,0,1118
417,1,7,AUTO,1,92537,GM,1915,2761,4410,5314,0,0,0,0,0,1641
423,0,2,AUTO,1,82010,FORD,17110,18927,21858,23457,16043,18461,20551,22416,0,853
427,1,4,AUTO,2,52492,FORD,3885,4913,4696,5806,0,0,0,0,0,754
432,1,2,AUTO,1,81858,GM,0,0,0,0,0,0,0,0,0,2282
434,1,6,AUTO,0,85629,FORD,8768,10655,9969,12007,8768,10655,9969,12007,0,1803
436,1,4,AUTO,1,80531,GM,5497,7070,6437,8136,5215,6837,6132,7884,0,1373
439,1,7,AUTO,0,64381,GM,4747,5928,5627,6902,4747,5928,5627,6902,0,2003
440,1,4,AUTO,2,82007,GM,4602,6026,5470,7008,4267,5737,5108,6696,0,2152
442,0,2,AUTO,1,47662,CHRYSLER,9846,11346,11134,12754,10310,11882,11635,13333,0,975
443,1,7,AUTO,2,70214,FORD,1708,2371,2345,3061,2478,3332,3176,4099,0,1220
444,1,3,AUTO,0,89240,CHRYSLER,9472,11179,10730,12573,9472,11179,10730,12573,0,1503
445,1,3,AUTO,2,89750,GM,6867,7985,7916,9124,5809,7051,6774,8115,0,2152
447,0,2,AUTO,2,50610,CHRYSLER,10897,12565,12269,14070,11215,13046,12612,14590,0,1086
450,0,2,AUTO,2,58203,CHRYSLER,9163,10712,10396,12069,9122,10543,10352,11886,0,1086
456,1,5,AUTO,0,73731,OTHER,3501,4869,4281,5759,3456,4636,4232,5507,0,803
457,1,5,AUTO,2,91888,GM,3836,4959,4643,5856,3852,4931,4660,5825,0,909
458,1,6,AUTO,2,46237,OTHER,2414,3203,3107,3959,2810,3701,3535,4497,0,782
463,1,6,AUTO,0,88176,GM,5524,6643,6466,7674,5554,6732,6498,7771,0,2452
464,1,7,AUTO,2,75513,CHRYSLER,2743,3564,3462,4349,2685,3667,3400,4460,0,1689
467,1,6,AUTO,1,70788,GM,5524,6643,6466,7674,5419,6794,6353,7838,0,2274
471,0,2,AUTO,1,69971,GM,8603,10249,9791,11569,9013,10639,10234,11990,0,728
477,1,5,AUTO,0,68387,CHRYSLER,2938,4086,3673,4913,2938,4086,3673,4913,0,1020
480,1,3,AUTO,2,51215,GM,6976,8339,8034,9506,7203,8521,8279,9703,0,1500
481,1,4,AUTO,0,74080,OTHER,6789,8727,7832,9925,6789,8727,7832,9925,0,1155
483,1,2,AUTO,0,72035,GM,6894,7668,7946,8781,6894,7668,7946,8781,0,803
484,1,3,AUTO,2,60059,CHRYSLER,4496,5887,5356,6858,4739,6141,5618,7132,0,1020
486,1,2,AUTO,1,66578,OTHER,9790,11349,11073,12757,9731,11403,11009,12815,0,728
487,1,5,AUTO,2,81862,OTHER,3652,4714,4444,5591,3408,4456,4181,5312,0,594
488,1,5,AUTO,2,73693,CHRYSLER,2761,3901,3482,4713,2587,3570,3294,4356,0,1155
490,1,4,AUTO,0,77456,GM,9499,11546,10759,12970,9499,11546,10759,12970,0,1506
491,1,4,AUTO,2,54290,OTHER,3569,4850,4355,5738,2969,3913,3707,4726,0,505
495,1,6,AUTO,0,54069,GM,2885,3763,3616,4564,2885,3763,3616,4564,0,3676
497,1,6,AUTO,0,69407,FORD,7054,8426,8118,9600,7054,8426,8118,9600,0,1515
503,1,6,AUTO,0,91830,GM,6276,8761,7278,9962,6276,8761,7278,9962,0,2218
512,1,6,AUTO,0,92877,FORD,2782,3857,3505,4666,2782,3857,3505,4666,0,2506
514,1,6,AUTO,0,82382,OTHER,5515,6825,6456,7871,5515,6825,6456,7871,0,1023
516,1,2,AUTO,2,72668,OTHER,9725,10770,11003,12132,9725,10770,11003,12132,0,803
520,1,4,AUTO,0,74844,FORD,9321,11292,10567,12695,9321,11292,10567,12695,0,1740
521,1,6,AUTO,0,63732,FORD,3453,4230,4229,5068,3453,4230,4229,5068,0,1320
529,0,3,AUTO,1,60843,CHRYSLER,11149,13301,12541,14865,10393,12753,11724,14273,0,1215
530,1,6,AUTO,0,39390,GM,3944,5167,4760,6080,3944,5167,4760,6080,0,1481
533,1,2,AUTO,0,75611,OTHER,5958,7251,6935,8331,5958,7251,6935,8331,0,920
534,1,8,AUTO,0,57000,FORD,3786,5115,4589,6024,3786,5115,4589,6024,0,971
537,1,3,AUTO,0,70224,FORD,4927,6066,5821,7051,4927,6066,5821,7051,0,1155
539,1,6,AUTO,0,80589,GM,3199,4143,3955,4974,3199,4143,3955,4974,0,2452
540,1,3,AUTO,0,57433,CHRYSLER,5270,6763,6192,7804,5270,6763,6192,7804,0,920
544,0,4,AUTO,1,81651,FORD,9716,11512,13565,15214,9659,11693,13349,15055,0,1373
547,1,4,AUTO,1,60770,OTHER,7153,8214,11577,12412,7141,8716,11285,12392,0,923
552,1,4,AUTO,1,81352,GM,6970,8505,10208,11902,7200,8813,10231,12224,0,1373
553,0,2,AUTO,2,56289,OTHER,8992,9568,11400,11978,8844,9368,11817,12278,0,505
554,1,4,AUTO,0,67234,CHRYSLER,9519,10810,14186,15408,9519,10810,14186,15408,0,1215
557,1,7,AUTO,0,88193,CHRYSLER,5326,6910,9033,10561,5326,6910,9033,10561,0,2063
562,0,4,AUTO,1,74312,OTHER,11260,12769,15249,17071,10476,11841,14058,15410,0,569
569,1,7,AUTO,2,66550,CHRYSLER,5931,7109,9026,10186,6115,7930,10047,13029,0,1125
579,0,2,AUTO,2,59998,CHRYSLER,9085,9971,12622,13404,9105,9871,12677,12997,0,920
581,0,6,AUTO,1,83563,CHRYSLER,9276,10958,12905,14489,9544,11562,12848,14293,0,1763
583,0,2,AUTO,2,72549,CHRYSLER,12086,13167,15638,16694,11883,12836,15364,16329,0,1389
584,1,4,AUTO,2,61251,CHRYSLER,5876,7124,9809,10964,5672,7140,8595,10484,0,1411
585,1,5,AUTO,1,75406,OTHER,6900,7968,10780,12372,6572,7516,10604,11680,0,1623
589,1,5,AUTO,0,61935,CHRYSLER,4200,5239,7236,8482,4200,5239,7236,8482,0,1215
597,0,5,AUTO,1,79328,GM,11320,13110,16090,17980,11325,14265,15693,18422,0,1155
599,1,5,AUTO,1,84663,FORD,3877,4893,6807,7973,3383,4538,6823,8068,0,983
600,0,3,AUTO,1,72159,FORD,11586,13079,15102,16096,12144,13932,15226,16967,0,803
602,1,5,AUTO,0,82564,GM,4575,5760,7227,8973,4575,5760,7227,8973,0,2152
605,1,5,AUTO,1,65911,CHRYSLER,7507,8736,10766,12325,6189,7671,9500,11869,0,1411
606,1,7,AUTO,1,46648,GM,2900,3949,5396,6389,2401,3251,5398,6312,0,1769
608,1,9,AUTO,2,65979,GM,1815,2510,4485,5078,1935,2797,4425,5089,0,1711
610,1,4,AUTO,0,87344,FORD,5760,7314,10105,12831,5760,7314,10105,12831,0,983
618,1,5,AUTO,1,76203,CHRYSLER,8260,10207,12152,14064,8175,9846,12608,14222,0,1623
623,1,5,AUTO,1,53035,GM,7444,8792,11161,12447,7832,9151,11474,12716,0,1169
634,1,5,AUTO,0,81495,OTHER,9002,10810,13174,15207,9002,10810,13174,15207,0,1243
635,1,8,AUTO,0,92263,GM,6125,7115,9228,9846,6125,7115,9083,9766,0,2651
638,0,3,AUTO,1,77246,GM,8285,9736,11976,13746,8772,10422,13014,14604,0,1974
639,0,5,AUTO,1,97341,CHRYSLER,9692,11780,13502,15203,9807,12610,13965,16520,0,1918
643,1,5,AUTO,0,61966,GM,5223,6620,8302,9712,5223,6620,8302,9712,0,1703
652,1,6,AUTO,1,83292,OTHER,7034,8699,10674,12210,6452,7953,10612,11842,0,1243
658,1,7,AUTO,1,98674,GM,2788,4010,5297,7618,2469,3530,5544,6773,0,2074
665,1,6,AUTO,0,92589,GM,5149,6631,8069,9522,5147,6677,8045,9212,0,1485
666,1,3,AUTO,0,48508,GM,8516,10171,12299,13872,8516,10171,12299,13872,0,905
670,1,4,AUTO,1,80814,OTHER,10022,13383,14302,16933,9876,12205,14222,15827,0,2022
672,1,5,AUTO,0,75399,CHRYSLER,2935,3841,6245,7138,3011,4031,5759,6770,0,686
677,1,9,AUTO,2,74145,GM,2010,2716,5592,9499,1708,2480,4113,4803,0,1923
682,0,2,AUTO,2,56542,OTHER,11156,12557,14778,15834,10866,12382,14592,16129,0,837
684,0,2,AUTO,2,49688,GM,10007,11384,14198,15206,9040,9905,13412,14262,0,764
687,0,3,AUTO,1,82343,FORD,10764,12763,14018,15642,11007,12966,16514,19453,0,853
698,0,3,AUTO,1,87641,FORD,10393,11818,13954,15655,10442,12001,13894,15129,0,853
699,0,4,AUTO,1,63518,FORD,9679,11382,13572,15235,9311,11112,13480,14781,0,728
702,1,4,AUTO,2,94719,CHRYSLER,6337,7918,10674,11976,6045,7572,9988,11954,0,1918
705,1,4,AUTO,1,86215,OTHER,7490,8420,10418,11736,7967,9058,11399,13093,0,594
707,0,4,AUTO,1,61703,CHRYSLER,8025,9482,12848,14039,10917,13290,15215,17501,0,1215
712,1,3,AUTO,2,73976,GM,5504,6648,9059,10175,5268,6498,8824,9987,0,803
714,0,3,AUTO,1,76192,FORD,11324,14124,15227,17810,10751,12918,14825,16473,0,569
716,1,3,AUTO,2,68048,CHRYSLER,10422,12236,14671,16277,10476,12306,14965,16431,0,1215
719,1,6,AUTO,1,83560,CHRYSLER,6744,8297,10200,11824,6027,7393,9398,11615,0,2022
720,0,2,AUTO,2,62605,FORD,9017,10307,13218,14253,8778,10375,13263,14766,0,728
723,0,5,AUTO,1,77072,FORD,10563,12734,15176,17124,9654,11468,14130,16036,0,803
726,1,7,AUTO,0,71671,GM,5859,7771,9720,11499,5859,7771,9720,11499,0,2274
727,0,4,AUTO,1,95552,CHRYSLER,10008,12483,14682,16727,9895,12462,14311,16656,0,1918
730,1,6,AUTO,0,86122,CHRYSLER,6722,8234,10279,11803,6722,8234,10279,11803,0,2022
733,1,5,AUTO,0,59477,CHRYSLER,3184,4334,6283,7619,3184,4334,6283,7619,0,588
734,1,6,AUTO,1,91720,CHRYSLER,8286,10585,12691,14751,8731,10914,13587,15245,0,2062
735,1,4,AUTO,0,65535,CHRYSLER,4450,5529,8099,9056,4450,5529,8099,9056,0,1215
736,1,5,AUTO,1,70040,FORD,6708,7731,11028,12118,6586,7798,10672,12068,0,1506
737,0,3,AUTO,1,72222,CHRYSLER,0,0,0,0,0,0,0,0,0,1623
738,0,4,AUTO,1,80584,GM,9296,11135,12993,14239,8791,10764,12527,13796,0,1503
746,1,6,AUTO,0,83248,FORD,6452,7931,10065,11813,6452,7931,10065,11813,0,1893
747,1,4,AUTO,2,58938,CHRYSLER,4040,5248,7319,8547,4104,5283,7253,8913,0,920
748,1,8,AUTO,1,94019,FORD,4231,5587,7827,9239,4103,5341,7263,8736,0,1930
755,1,4,AUTO,1,81264,OTHER,6328,7554,10311,12309,6388,7240,9596,11093,0,853
759,0,2,AUTO,2,74214,CHRYSLER,10232,11433,14163,15522,10054,11360,14002,15390,0,1389
773,1,5,AUTO,0,67007,CHRYSLER,3091,4068,6072,7320,3091,4068,6072,7320,0,630
774,0,3,AUTO,1,76746,OTHER,9007,10502,12680,14048,9112,10483,12856,13882,0,1272
807,1,5,AUTO,1,82187,FORD,3255,4146,5925,7189,3637,4679,7320,8012,0,1243
810,1,3,AUTO,2,55624,FORD,5836,7412,9723,11180,5297,6712,8440,9946,0,920
814,1,7,AUTO,0,58074,FORD,2863,3788,5691,6890,2935,3912,5831,7099,0,1220
816,1,7,AUTO,0,69215,CHRYSLER,1443,2144,2058,2816,1443,2144,2058,2816,0,930
823,0,2,AUTO,2,40658,CHRYSLER,10513,12226,11854,13704,10856,12492,12224,13991,0,975
830,1,3,AUTO,0,54912,GM,4810,5899,5695,6871,4810,5899,5695,6871,0,671
831,1,6,AUTO,0,95298,GM,2488,3491,3187,4270,2488,3491,3187,4270,0,2939
844,1,4,AUTO,1,71672,GM,8080,9677,9226,10951,7138,8564,8209,9749,0,1155
847,1,3,AUTO,2,44405,CHRYSLER,9150,10821,10382,12187,8434,9944,9609,11240,0,975
851,0,3,AUTO,1,83465,CHRYSLER,8790,11373,9993,12783,8790,11373,9993,12783,0,1763
854,1,3,AUTO,2,59000,OTHER,4390,5597,5241,6545,3752,4653,4552,5525,0,505
856,0,1,AUTO,1,83837,GM,10408,11441,11741,12856,10201,11786,13807,15689,0,2152
858,1,3,AUTO,1,66653,CHRYSLER,11223,13294,12621,14858,10290,12474,11613,13972,0,1215
867,1,3,AUTO,2,67821,CHRYSLER,7374,8295,8464,9459,7330,8251,8416,9411,0,1411
868,0,2,AUTO,1,85909,FORD,9793,12559,11076,14064,9205,11120,13011,14824,0,1633
882,1,6,AUTO,0,81996,FORD,2754,3923,3474,4737,2754,3923,3474,4737,0,1283
883,1,6,AUTO,1,94174,OTHER,5598,6893,6546,7944,4474,5603,7803,9551,0,1641
884,1,4,AUTO,0,72070,CHRYSLER,2931,3801,3665,4605,2931,3801,3665,4605,0,1155
886,0,3,AUTO,1,71367,CHRYSLER,9095,10662,10323,12015,10250,11909,14604,15924,0,1389
892,1,4,AUTO,0,63589,CHRYSLER,3948,5095,4764,6003,3948,5095,4764,6003,0,1020
898,0,2,AUTO,2,57804,CHRYSLER,8871,9779,10081,11061,10011,10786,13732,14535,1,1086
901,0,1,AUTO,1,78035,FORD,12696,13830,14212,15436,10918,12966,15784,17136,1,1272
902,0,3,AUTO,2,74416,GM,8935,11424,10150,12838,10272,12123,14237,15868,1,1506
906,0,3,AUTO,1,61296,FORD,10339,12272,11666,13754,10316,12191,14666,16759,1,728
907,0,2,AUTO,1,88084,FORD,10551,13451,11895,15027,10677,13152,15372,16965,1,1633
909,0,3,AUTO,1,50595,CHRYSLER,8289,9893,9452,11184,9079,10440,12672,13712,1,1086
910,1,5,AUTO,0,71669,GM,2884,4061,3615,4886,2884,4061,3615,4886,1,1155
912,0,2,AUTO,2,55983,CHRYSLER,10016,11682,11317,13117,12006,13562,15546,17624,1,1086
913,0,2,AUTO,1,82456,GM,8725,10459,9923,11796,10723,12431,14452,16036,1,2152
914,0,2,AUTO,1,86439,GM,11941,13742,13396,15341,12389,13584,17511,18473,1,2282
915,0,2,AUTO,2,69137,OTHER,10866,12169,12235,13643,10048,11064,14084,15132,1,533
918,0,1,AUTO,2,62888,CHRYSLER,10445,11687,11781,13122,10342,11972,14192,16470,1,1215
921,0,1,AUTO,2,69177,CHRYSLER,7814,8568,11705,12598,9111,10012,12397,13175,1,1020
924,1,2,AUTO,2,62845,CHRYSLER,5460,6274,9276,9993,5333,6555,8687,9916,1,1215
930,1,6,AUTO,1,74296,CHRYSLER,2836,3780,6070,7398,2836,3780,6070,7398,1,1689
934,1,6,AUTO,1,93730,FORD,2400,3291,5840,6575,2508,3364,5447,6537,1,2506
935,0,1,AUTO,2,75447,OTHER,10343,11895,14832,16165,11785,15970,15517,19525,1,803
939,0,2,AUTO,3,90667,OTHER,11490,14326,14773,17390,12162,14067,15269,17312,1,909
940,1,8,AUTO,1,75719,CHRYSLER,5158,6542,8722,10134,5153,6536,8551,9778,0,1806
941,0,3,AUTO,1,77621,CHRYSLER,10577,13506,14488,17547,12034,14394,17033,20374,0,1623
945,1,7,AUTO,1,82202,GM,3881,5188,7009,8330,3869,5172,6926,7942,1,2712
946,1,6,AUTO,2,50515,OTHER,2741,3874,5962,7504,2959,4065,6190,7866,1,505
957,1,5,AUTO,0,70519,OTHER,5862,7131,9185,10720,5862,7131,9185,10720,1,686
963,1,6,AUTO,0,66309,FORD,3426,4340,7095,8178,3426,4340,7095,8178,1,825
968,0,3,AUTO,1,62006,FORD,9502,11166,13682,16078,10016,11640,13644,15364,1,1118
971,0,4,AUTO,2,78724,CHRYSLER,8945,10534,12911,14621,10119,11611,14134,15616,1,1389
972,1,4,AUTO,0,68134,CHRYSLER,6228,7841,10142,11643,6228,7841,10142,11643,0,1411
978,1,5,AUTO,0,65614,FORD,6944,8643,10970,12877,6944,8643,10970,12877,0,1313
980,1,3,AUTO,0,48898,CHRYSLER,9926,11527,14152,15603,9926,11527,14152,15603,0,553
982,0,4,MANUAL,1,68585,FORD,9120,10560,13330,14938,10018,11782,13504,14799,0,728
989,1,4,AUTO,2,75763,GM,6391,7912,10610,12321,6768,8679,10779,12943,0,1623
990,0,7,AUTO,1,74434,GM,8145,9562,12359,14199,9087,9913,12510,13582,1,1923
993,1,4,AUTO,2,64734,GM,6468,7649,9976,11265,6660,7815,9928,11181,1,923
995,1,3,AUTO,2,69844,GM,7861,9108,11702,12982,8231,9466,11598,13020,1,1703
996,1,5,AUTO,2,89196,GM,4550,5640,7807,8944,4751,5859,7581,9278,1,2152
997,1,4,AUTO,2,39467,CHRYSLER,5455,6561,8688,9859,5627,6745,8635,10084,1,882
998,0,4,AUTO,2,66801,GM,8378,10543,12568,14986,9073,11066,13190,14710,1,1118
1005,0,2,AUTO,1,76708,CHRYSLER,13945,16009,17195,19299,13408,15397,17277,19461,1,686
1014,0,4,AUTO,1,70171,GM,10919,13140,15848,17311,10387,11819,15499,16424,1,1155
1015,1,4,AUTO,0,75822,OTHER,4033,4912,6979,7885,3773,4637,7244,8162,1,569
1016,1,3,AUTO,0,57929,GM,6598,7538,10428,11914,6697,7741,10052,11265,1,671
1017,1,4,AUTO,0,75581,OTHER,4054,5093,7378,8528,4054,5093,7378,8528,1,569
1022,1,4,AUTO,2,59492,OTHER,5119,6573,7803,10023,4862,5865,8561,9254,1,671
1034,1,3,MANUAL,2,59050,GM,7812,9323,10566,12814,7145,8288,10446,11586,1,505
1035,1,5,AUTO,0,75976,CHRYSLER,3694,4952,6658,8209,3284,4521,6295,7743,1,1389
1036,0,2,AUTO,1,78200,GM,10976,12773,14824,16858,12197,13238,15812,16564,1,1272
1040,0,2,AUTO,1,60700,CHRYSLER,11601,12521,15597,16350,11563,12605,15913,16460,1,1215
1042,0,3,AUTO,1,59702,OTHER,11187,12620,15578,16359,10425,11803,14543,15799,1,1003
1045,0,2,AUTO,1,89404,FORD,11426,13919,15300,17654,10098,12444,14559,16615,1,1633
1046,1,6,AUTO,2,80674,CHRYSLER,3549,4543,7027,8995,3666,4691,6807,8157,1,1503
1048,0,2,AUTO,1,80272,GM,9608,11042,14586,16763,8923,10035,12654,13912,1,2152
1050,0,3,AUTO,2,59287,GM,11456,15119,15698,19511,12265,15087,17387,21387,1,920
1052,0,4,AUTO,3,66551,FORD,8465,11141,12964,15151,9210,12036,13428,16036,1,533
1053,1,4,AUTO,2,72373,OTHER,8394,10232,12277,13674,8135,9652,11526,12685,1,686
1054,1,3,AUTO,1,87903,GM,6683,7731,10160,10934,5838,7301,9843,11032,1,853
