RefId,IsBadBuy,Auction,VehicleAge,Make,Model,Transmission,WheelTypeID,WheelType,VehOdo,Nationality,TopThreeAmericanName,MMRAcquisitionAuctionAveragePrice,MMRAcquisitionAuctionCleanPrice,MMRAcquisitionRetailAveragePrice,MMRAcquisitonRetailCleanPrice,MMRCurrentAuctionAveragePrice,MMRCurrentAuctionCleanPrice,MMRCurrentRetailAveragePrice,MMRCurrentRetailCleanPrice,PRIMEUNIT,AUCGUART,BYRNO,VNZIP1,VNST,IsOnlineSale,WarrantyCost
109,0,ADESA,4,CHEVROLET,TRAILBLAZER 2WD 6C,AUTO,1,Alloy,81338,AMERICAN,GM,8890,10815,13062,14346,9240,11797,13807,16073,0,0,19638,33619,FL,0,1243
114,0,ADESA,3,TOYOTA,CAMRY V6,AUTO,2,Covers,81930,TOP LINE ASIAN,OTHER,10573,12032,16795,17453,10472,11521,15961,16874,0,0,20928,33619,FL,0,594
115,0,ADESA,4,DODGE,DURANGO 2WD V8,AUTO,1,Alloy,74131,AMERICAN,CHRYSLER,10883,12166,15402,16556,9100,11639,13748,15980,0,0,20928,33619,FL,0,1389
117,0,ADESA,3,DODGE,MAGNUM V6,AUTO,2,Covers,64118,AMERICAN,CHRYSLER,8549,9808,12845,14134,8794,9910,12990,14001,0,0,20928,33619,FL,0,1215
127,0,ADESA,3,DODGE,CARAVAN GRAND FWD V6,AUTO,1,Alloy,66545,AMERICAN,CHRYSLER,9693,12057,13671,15991,11871,14671,15959,18815,0,0,20928,33619,FL,0,1411
129,0,ADESA,3,MAZDA,MAZDA6,AUTO,1,Alloy,71952,OTHER ASIAN,OTHER,9653,10778,13469,14600,9983,11249,13424,14541,0,0,20928,33619,FL,0,1272
134,1,ADESA,7,SATURN,L SERIES,AUTO,0,0,59072,AMERICAN,GM,3458,4653,6222,7512,3458,4653,6222,7512,0,0,19638,33619,FL,0,1469
138,1,ADESA,7,FORD,FOCUS,AUTO,1,Alloy,64554,AMERICAN,FORD,3129,4254,5786,6924,2902,3721,5946,6848,0,0,19638,33619,FL,0,1320
142,1,ADESA,5,CHEVROLET,IMPALA,AUTO,2,Covers,60554,AMERICAN,GM,4690,5796,7488,9182,4340,5590,7370,9073,0,0,19638,33619,FL,0,1703
144,1,ADESA,9,FORD,EXPEDITION 2WD V8,AUTO,1,Alloy,63377,AMERICAN,FORD,4769,6001,8035,9312,5199,6557,8239,9329,0,0,5546,33619,FL,0,1223
156,1,ADESA,3,CHRYSLER,PT CRUISER,AUTO,2,Covers,73963,AMERICAN,CHRYSLER,6261,7204,9489,10598,6057,7034,9404,10479,0,0,19638,33619,FL,0,1389
162,0,ADESA,5,DODGE,1500 RAM PICKUP 2WD,AUTO,1,Alloy,46695,AMERICAN,CHRYSLER,8578,10148,12893,14347,9020,11168,13252,15018,0,0,19638,33619,FL,0,693
181,1,ADESA,6,CHEVROLET,1500 SILVERADO PICKU,AUTO,2,Covers,62990,AMERICAN,GM,6217,7767,10090,11805,5309,6694,8983,11326,0,0,19619,33619,FL,0,1020
182,1,ADESA,6,FORD,EXPLORER 2WD V6,AUTO,1,Alloy,78992,AMERICAN,FORD,6702,7909,9788,11066,6659,7961,10137,11356,0,0,19619,33619,FL,0,1155
184,1,ADESA,6,CHRYSLER,PT CRUISER,AUTO,2,Covers,60522,AMERICAN,CHRYSLER,4196,5053,7137,8089,3534,4563,6998,9035,0,0,19619,33619,FL,0,1215
185,1,ADESA,8,BUICK,PARK AVENUE,AUTO,1,Alloy,73725,AMERICAN,GM,4862,6216,8540,10127,5500,7139,8546,9974,0,0,19619,33619,FL,0,2274
193,0,ADESA,4,CHRYSLER,PACIFICA FWD,AUTO,1,Alloy,79015,AMERICAN,CHRYSLER,11290,13198,14310,16387,10137,12403,13394,15388,0,0,19619,33619,FL,0,1389
220,1,ADESA,5,CHEVROLET,COBALT,AUTO,0,0,69430,AMERICAN,GM,4481,5568,7335,8281,4009,5044,6971,8771,0,0,5546,33619,FL,0,728
231,1,ADESA,4,HYUNDAI,SO0TA V6,AUTO,1,Alloy,61315,OTHER ASIAN,OTHER,6860,8045,10461,11384,6554,7937,9788,11295,0,0,19638,33619,FL,0,728
234,0,ADESA,2,CHEVROLET,IMPALA V6,AUTO,1,Alloy,72993,AMERICAN,GM,9034,10418,13140,14306,8780,10283,12594,14324,0,0,19638,33619,FL,0,1974
237,0,ADESA,4,CHRYSLER,300,AUTO,2,Covers,62955,AMERICAN,CHRYSLER,9620,11498,13747,15428,9207,10649,12236,13920,0,0,20928,33619,FL,0,1215
246,0,ADESA,4,HONDA,ACCORD 4C,AUTO,2,Covers,84388,TOP LINE ASIAN,OTHER,9079,10482,12702,14481,8840,10100,12757,14447,0,0,20928,33619,FL,0,594
250,1,ADESA,9,FORD,MUSTANG V6,AUTO,0,0,78593,AMERICAN,FORD,3242,4029,6037,7147,3242,4029,6037,7147,0,0,20928,33619,FL,0,1103
268,1,ADESA,4,CHRYSLER,PT CRUISER,AUTO,2,Covers,66568,AMERICAN,CHRYSLER,5108,6069,8483,9557,4775,5796,8667,9390,0,0,20928,33619,FL,0,1215
269,1,ADESA,3,SATURN,ION,AUTO,2,Covers,63079,AMERICAN,GM,6340,7574,9909,11051,6025,7220,9792,10587,0,0,20928,33619,FL,0,728
274,0,ADESA,3,JEEP,GRAND CHEROKEE 2WD V,AUTO,1,Alloy,62233,AMERICAN,CHRYSLER,12693,14504,16545,18175,12290,14323,16028,17973,0,0,19638,33619,FL,0,1508
275,1,ADESA,6,FORD,TAURUS,AUTO,1,Alloy,79081,AMERICAN,FORD,4017,5555,7330,9314,4017,5555,7301,9129,0,0,19638,33619,FL,0,920
282,1,ADESA,3,PONTIAC,G6 4C,AUTO,2,Covers,89443,AMERICAN,GM,6976,8174,10513,11445,6491,7771,9545,10739,0,0,5546,33619,FL,0,1113
292,0,ADESA,2,DODGE,CHARGER V6,AUTO,2,Covers,79986,AMERICAN,CHRYSLER,9910,11097,12786,14477,10117,11192,13259,14350,0,0,19638,33619,FL,0,1389
300,1,ADESA,2,DODGE,AVENGER 4C,AUTO,0,0,51288,AMERICAN,CHRYSLER,8993,10322,12758,13988,9047,10345,13148,14575,0,0,5546,33619,FL,0,920
307,0,ADESA,3,NISSAN,ALTIMA,AUTO,2,Covers,64223,TOP LINE ASIAN,OTHER,10213,11555,14505,15818,10322,12147,13974,16949,0,0,5546,33619,FL,0,630
312,0,ADESA,2,JEEP,PATRIOT 4WD 4C,AUTO,1,Alloy,71757,AMERICAN,CHRYSLER,10404,12297,14577,16119,11099,13119,15101,16552,0,0,5546,33619,FL,0,1506
317,1,ADESA,7,KIA,SORENTO 4WD,AUTO,1,Alloy,74273,OTHER ASIAN,OTHER,5336,6663,8435,9596,4231,5156,7610,8321,0,0,5546,33619,FL,0,2157
318,0,ADESA,1,DODGE,JOURNEY FWD 4C,AUTO,1,Alloy,79732,AMERICAN,CHRYSLER,9632,10510,13362,14619,9838,10725,13382,14392,0,0,5546,33619,FL,0,1155
319,1,ADESA,3,SATURN,AURA,AUTO,1,Alloy,47555,AMERICAN,GM,8875,10274,12354,13695,8379,9784,12372,13654,0,0,5546,33619,FL,0,905
326,1,ADESA,2,KIA,SPECTRA,AUTO,2,Covers,61184,OTHER ASIAN,OTHER,6796,7555,10140,10805,6628,7535,9605,10650,0,0,5546,33619,FL,0,533
328,0,ADESA,1,CHEVROLET,MALIBU 4C,AUTO,2,Covers,80120,AMERICAN,GM,9900,10858,13687,14727,11386,12751,14524,16018,0,0,19638,33619,FL,0,1113
334,0,ADESA,1,CHEVROLET,IMPALA V6,AUTO,1,Alloy,60559,AMERICAN,GM,9944,10977,14036,15253,10981,12184,14779,16077,NO,GREEN,19638,33619,FL,0,1703
339,0,ADESA,4,FORD,F150 PICKUP 4WD V8,AUTO,1,Alloy,91071,AMERICAN,FORD,12388,14924,17833,20207,12360,15378,17496,20147,NO,GREEN,5546,33619,FL,0,1774
341,1,ADESA,1,FORD,FUSION V6,AUTO,1,Alloy,62846,AMERICAN,FORD,11510,12950,16310,17717,12008,13466,16020,17274,0,0,19638,33619,FL,0,1118
342,0,ADESA,2,PONTIAC,G6 4C,AUTO,2,Covers,44281,AMERICAN,GM,8169,9168,11932,12902,8777,10108,12054,13065,0,0,19638,33619,FL,0,764
358,1,ADESA,7,DODGE,CARAVAN GRAND FWD V6,AUTO,3,Special,76650,AMERICAN,CHRYSLER,3258,4022,6510,7392,3718,4482,6602,7447,NO,GREEN,19638,33619,FL,0,1923
363,0,ADESA,2,CHRYSLER,SEBRING 4C,AUTO,2,Covers,51127,AMERICAN,CHRYSLER,8662,10020,12371,14000,10100,11432,13634,14884,NO,GREEN,5546,33619,FL,0,920
366,1,ADESA,7,FORD,WINDSTAR FWD V6,AUTO,1,Alloy,86003,AMERICAN,FORD,2747,3929,5626,7013,2960,4204,6089,7252,0,0,5546,33619,FL,0,2322
368,0,ADESA,3,CHRYSLER,300,AUTO,2,Covers,66750,AMERICAN,CHRYSLER,9899,11476,14193,15739,10244,11923,14403,15902,0,0,5546,33619,FL,0,1215
374,0,ADESA,2,CHRYSLER,300,AUTO,2,Covers,73402,AMERICAN,CHRYSLER,10782,12010,14421,15733,10355,11937,14059,15631,0,0,5546,33619,FL,0,1389
378,0,ADESA,2,KIA,OPTIMA 4C,AUTO,2,Covers,35655,OTHER ASIAN,OTHER,7242,8471,10314,12065,9427,10390,12441,13242,NO,GREEN,5546,33619,FL,0,582
379,0,ADESA,3,CHRYSLER,300,AUTO,2,Covers,40909,AMERICAN,CHRYSLER,9899,11476,14193,15739,10095,11870,13813,15736,0,0,5546,33619,FL,0,975
390,0,ADESA,1,PONTIAC,G6 V6,AUTO,1,Alloy,56849,AMERICAN,GM,10045,11240,14118,15297,9774,11439,13314,15279,0,0,20740,33619,FL,0,1003
392,0,ADESA,2,FORD,FUSION V6,AUTO,1,Alloy,72090,AMERICAN,FORD,12166,13895,15827,17468,13609,15435,16500,17782,NO,GREEN,20928,33619,FL,0,1272
393,0,ADESA,2,DODGE,AVENGER V6,AUTO,1,Alloy,82820,AMERICAN,CHRYSLER,9150,10342,13503,14548,9046,11054,13135,14738,0,0,20740,33619,FL,0,1373
402,0,ADESA,3,FORD,F150 PICKUP 2WD V8,AUTO,1,Alloy,75031,AMERICAN,FORD,15245,17466,19061,20539,13962,17134,15911,19525,0,0,19619,33619,FL,0,803
412,1,ADESA,2,MAZDA,MAZDA3,AUTO,0,0,79092,OTHER ASIAN,OTHER,9954,11579,13473,14781,10563,12549,14209,15895,0,0,5546,33619,FL,0,1038
415,1,ADESA,7,PONTIAC,VIBE,AUTO,2,Covers,64139,AMERICAN,GM,3680,4673,6864,8224,3546,4644,6706,7941,0,0,5546,33619,FL,0,833
416,1,ADESA,4,PONTIAC,G6 V6,AUTO,0,0,64407,AMERICAN,GM,7533,8655,11299,12611,7105,9151,11066,13318,0,0,5546,33619,FL,0,1118
417,1,ADESA,7,CHEVROLET,CAVALIER 4C,AUTO,1,Alloy,92537,AMERICAN,GM,1915,2761,4410,5314,0,0,0,0,0,0,5546,33619,FL,0,1641
423,0,ADESA,2,FORD,F150 PICKUP 2WD V8,AUTO,1,Alloy,82010,AMERICAN,FORD,17110,18927,21858,23457,16043,18461,20551,22416,NO,GREEN,5546,33619,FL,0,853
427,1,ADESA,4,MERCURY,SABLE 3.0L V6 EFI,AUTO,2,Covers,52492,AMERICAN,FORD,3885,4913,4696,5806,0,0,0,0,0,0,20740,20166,VA,0,754
432,1,ADESA,2,CHEVROLET,UPLANDER FWD V6 3.9L,AUTO,1,Alloy,81858,AMERICAN,GM,0,0,0,0,0,0,0,0,0,0,17675,20166,VA,0,2282
434,1,ADESA,6,FORD,EXPEDITION 4WD V8 5.,AUTO,0,0,85629,AMERICAN,FORD,8768,10655,9969,12007,8768,10655,9969,12007,0,0,17675,20166,VA,0,1803
436,1,ADESA,4,CHEVROLET,MALIBU V6 3.5L V6 SF,AUTO,1,Alloy,80531,AMERICAN,GM,5497,7070,6437,8136,5215,6837,6132,7884,0,0,17675,20166,VA,0,1373
439,1,ADESA,7,OLDSMOBILE,BRAVADA AWD V6 4.2L,AUTO,0,0,64381,AMERICAN,GM,4747,5928,5627,6902,4747,5928,5627,6902,0,0,17675,20166,VA,0,2003
440,1,ADESA,4,CHEVROLET,IMPALA 3.4L V6 SFI,AUTO,2,Covers,82007,AMERICAN,GM,4602,6026,5470,7008,4267,5737,5108,6696,0,0,17675,20166,VA,0,2152
442,0,ADESA,2,DODGE,CHARGER V6 2.7L V6 M,AUTO,1,Alloy,47662,AMERICAN,CHRYSLER,9846,11346,11134,12754,10310,11882,11635,13333,0,0,17675,20166,VA,0,975
443,1,ADESA,7,FORD,TAURUS 3.0L V6 EFI S,AUTO,2,Covers,70214,AMERICAN,FORD,1708,2371,2345,3061,2478,3332,3176,4099,0,0,17675,20166,VA,0,1220
444,1,ADESA,3,CHRYSLER,300 2.7L V6 MPI,AUTO,0,0,89240,AMERICAN,CHRYSLER,9472,11179,10730,12573,9472,11179,10730,12573,0,0,17675,20166,VA,0,1503
445,1,ADESA,3,CHEVROLET,MONTE CARLO 3.5L V6,AUTO,2,Covers,89750,AMERICAN,GM,6867,7985,7916,9124,5809,7051,6774,8115,0,0,17675,20166,VA,0,2152
447,0,ADESA,2,CHRYSLER,300 2.7L V6 MPI,AUTO,2,Covers,50610,AMERICAN,CHRYSLER,10897,12565,12269,14070,11215,13046,12612,14590,0,0,17675,20166,VA,0,1086
450,0,ADESA,2,DODGE,MAGNUM V6 2.7L V6 MP,AUTO,2,Covers,58203,AMERICAN,CHRYSLER,9163,10712,10396,12069,9122,10543,10352,11886,0,0,20740,20166,VA,0,1086
456,1,ADESA,5,HYUNDAI,SO0TA V6 2.7L V6 MP,AUTO,0,0,73731,OTHER ASIAN,OTHER,3501,4869,4281,5759,3456,4636,4232,5507,0,0,20740,20166,VA,0,803
457,1,ADESA,5,SATURN,ION 2.2L I4 EFI / SF,AUTO,2,Covers,91888,AMERICAN,GM,3836,4959,4643,5856,3852,4931,4660,5825,0,0,20740,20166,VA,0,909
458,1,ADESA,6,HYUNDAI,ELANTRA 2.0L I4 MPI,AUTO,2,Covers,46237,OTHER ASIAN,OTHER,2414,3203,3107,3959,2810,3701,3535,4497,0,0,20740,20166,VA,0,782
463,1,ADESA,6,CHEVROLET,TRAILBLAZER 4WD 6C 4,AUTO,0,0,88176,AMERICAN,GM,5524,6643,6466,7674,5554,6732,6498,7771,0,0,20740,20166,VA,0,2452
464,1,ADESA,7,CHRYSLER,PT CRUISER 2.4L I4 M,AUTO,2,Covers,75513,AMERICAN,CHRYSLER,2743,3564,3462,4349,2685,3667,3400,4460,0,0,20740,20166,VA,0,1689
467,1,ADESA,6,CHEVROLET,TRAILBLAZER 4WD 6C 4,AUTO,1,Alloy,70788,AMERICAN,GM,5524,6643,6466,7674,5419,6794,6353,7838,0,0,20740,20166,VA,0,2274
471,0,ADESA,2,CHEVROLET,HHR 2.2L I4 MPI,AUTO,1,Alloy,69971,AMERICAN,GM,8603,10249,9791,11569,9013,10639,10234,11990,0,0,20740,20166,VA,0,728
477,1,ADESA,5,DODGE,STRATUS 4C 2.4L I4 M,AUTO,0,0,68387,AMERICAN,CHRYSLER,2938,4086,3673,4913,2938,4086,3673,4913,0,0,19619,20166,VA,0,1020
480,1,ADESA,3,CHEVROLET,IMPALA 3.5L V6 SFI,AUTO,2,Covers,51215,AMERICAN,GM,6976,8339,8034,9506,7203,8521,8279,9703,0,0,19619,20166,VA,0,1500
481,1,ADESA,4,HYUNDAI,SANTA FE 4WD V6 2.7L,AUTO,0,0,74080,OTHER ASIAN,OTHER,6789,8727,7832,9925,6789,8727,7832,9925,0,0,19619,20166,VA,0,1155
483,1,ADESA,2,CHEVROLET,COBALT 2.2L I4 MPI,AUTO,0,0,72035,AMERICAN,GM,6894,7668,7946,8781,6894,7668,7946,8781,0,0,19619,20166,VA,0,803
484,1,ADESA,3,DODGE,STRATUS 4C 2.4L I4 S,AUTO,2,Covers,60059,AMERICAN,CHRYSLER,4496,5887,5356,6858,4739,6141,5618,7132,0,0,19619,20166,VA,0,1020
486,1,ADESA,2,HYUNDAI,SO0TA V6 3.3L V6 MP,AUTO,1,Alloy,66578,OTHER ASIAN,OTHER,9790,11349,11073,12757,9731,11403,11009,12815,0,0,20740,20166,VA,0,728
487,1,ADESA,5,HYUNDAI,ELANTRA 2.0L I4 MPI,AUTO,2,Covers,81862,OTHER ASIAN,OTHER,3652,4714,4444,5591,3408,4456,4181,5312,0,0,20740,20166,VA,0,594
488,1,ADESA,5,DODGE,STRATUS 4C 2.4L I4 M,AUTO,2,Covers,73693,AMERICAN,CHRYSLER,2761,3901,3482,4713,2587,3570,3294,4356,0,0,20740,20166,VA,0,1155
490,1,ADESA,4,CHEVROLET,EQUINOX AWD V6 3.4L,AUTO,0,0,77456,AMERICAN,GM,9499,11546,10759,12970,9499,11546,10759,12970,0,0,20740,20166,VA,0,1506
491,1,ADESA,4,SUZUKI,FORENZA 2.0L I4 EFI,AUTO,2,Covers,54290,OTHER ASIAN,OTHER,3569,4850,4355,5738,2969,3913,3707,4726,0,0,20740,20166,VA,0,505
495,1,ADESA,6,CHEVROLET,VENTURE FWD V6 3.4L,AUTO,0,0,54069,AMERICAN,GM,2885,3763,3616,4564,2885,3763,3616,4564,0,0,21973,20166,VA,0,3676
497,1,ADESA,6,FORD,EXPEDITION 4WD V8 5.,AUTO,0,0,69407,AMERICAN,FORD,7054,8426,8118,9600,7054,8426,8118,9600,0,0,21973,20166,VA,0,1515
503,1,ADESA,6,CHEVROLET,TAHOE 4WD 4.8L V8 SF,AUTO,0,0,91830,AMERICAN,GM,6276,8761,7278,9962,6276,8761,7278,9962,0,0,21973,20166,VA,0,2218
512,1,ADESA,6,FORD,WINDSTAR FWD V6 3.8L,AUTO,0,0,92877,AMERICAN,FORD,2782,3857,3505,4666,2782,3857,3505,4666,0,0,20740,20166,VA,0,2506
514,1,ADESA,6,NISSAN,ALTIMA 3.5L V6 MPI,AUTO,0,0,82382,TOP LINE ASIAN,OTHER,5515,6825,6456,7871,5515,6825,6456,7871,0,0,20740,20166,VA,0,1023
516,1,ADESA,2,HYUNDAI,SO0TA 4C 2.4L I4 MP,AUTO,2,Covers,72668,OTHER ASIAN,OTHER,9725,10770,11003,12132,9725,10770,11003,12132,0,0,20740,20166,VA,0,803
520,1,ADESA,4,FORD,EXPLORER 4WD V6 4.0L,AUTO,0,0,74844,AMERICAN,FORD,9321,11292,10567,12695,9321,11292,10567,12695,0,0,20740,20166,VA,0,1740
521,1,ADESA,6,FORD,FOCUS 2.0L I-4 EFI D,AUTO,0,0,63732,AMERICAN,FORD,3453,4230,4229,5068,3453,4230,4229,5068,0,0,5546,20166,VA,0,1320
529,0,ADESA,3,CHRYSLER,PACIFICA FWD 3.5L V6,AUTO,1,Alloy,60843,AMERICAN,CHRYSLER,11149,13301,12541,14865,10393,12753,11724,14273,0,0,5546,20166,VA,0,1215
530,1,ADESA,6,SATURN,VUE AWD 4C 2.2L I4 M,AUTO,0,0,39390,AMERICAN,GM,3944,5167,4760,6080,3944,5167,4760,6080,0,0,5546,20166,VA,0,1481
533,1,ADESA,2,HYUNDAI,ACCENT 1.6L I4 MPI,AUTO,0,0,75611,OTHER ASIAN,OTHER,5958,7251,6935,8331,5958,7251,6935,8331,0,0,19619,20166,VA,0,920
534,1,ADESA,8,LINCOLN,TOWN CAR 4.6L V8 EFI,AUTO,0,0,57000,AMERICAN,FORD,3786,5115,4589,6024,3786,5115,4589,6024,0,0,19619,20166,VA,0,971
537,1,ADESA,3,FORD,FOCUS 2.0L I4 SFI,AUTO,0,0,70224,AMERICAN,FORD,4927,6066,5821,7051,4927,6066,5821,7051,0,0,19619,20166,VA,0,1155
539,1,ADESA,6,CHEVROLET,MONTE CARLO 3.4L V6,AUTO,0,0,80589,AMERICAN,GM,3199,4143,3955,4974,3199,4143,3955,4974,0,0,19619,20166,VA,0,2452
540,1,ADESA,3,CHRYSLER,SEBRING 4C 2.4L I4 S,AUTO,0,0,57433,AMERICAN,CHRYSLER,5270,6763,6192,7804,5270,6763,6192,7804,0,0,19619,20166,VA,0,920
544,0,ADESA,4,MERCURY,MILAN V6,AUTO,1,Alloy,81651,AMERICAN,FORD,9716,11512,13565,15214,9659,11693,13349,15055,0,0,52117,20166,VA,0,1373
547,1,ADESA,4,MAZDA,MAZDA3,AUTO,1,Alloy,60770,OTHER ASIAN,OTHER,7153,8214,11577,12412,7141,8716,11285,12392,0,0,52117,20166,VA,0,923
552,1,ADESA,4,CHEVROLET,MALIBU V6,AUTO,1,Alloy,81352,AMERICAN,GM,6970,8505,10208,11902,7200,8813,10231,12224,0,0,52117,20166,VA,0,1373
553,0,ADESA,2,HYUNDAI,ELANTRA,AUTO,2,Covers,56289,OTHER ASIAN,OTHER,8992,9568,11400,11978,8844,9368,11817,12278,0,0,52117,20166,VA,0,505
554,1,ADESA,4,DODGE,CHARGER,AUTO,0,0,67234,AMERICAN,CHRYSLER,9519,10810,14186,15408,9519,10810,14186,15408,0,0,52117,20166,VA,0,1215
557,1,ADESA,7,DODGE,DURANGO 4WD V8,AUTO,0,0,88193,AMERICAN,CHRYSLER,5326,6910,9033,10561,5326,6910,9033,10561,0,0,52117,20166,VA,0,2063
562,0,ADESA,4,HONDA,ACCORD 4C,AUTO,1,Alloy,74312,TOP LINE ASIAN,OTHER,11260,12769,15249,17071,10476,11841,14058,15410,0,0,52117,20166,VA,0,569
